代码,原文评级,评级变动,机构,一个月内调研数,研报前后涨跌幅,研报当天比上一日涨跌幅,研报后一天涨跌幅
603979,买入,维持,国海证券,1,-0.005789909,-0.019851117,0.014345992
603755,买入,首次,安信证券,4,-0.015497076,0.028947368,-0.043194089
000066,买入,维持,太平洋,4,-0.041217502,-0.039315155,-0.001980198
601077,增持,维持,中银证券,2,-0.00896861,-0.004484305,-0.004504505
600309,买入,维持,浙商证券,15,-0.006779661,0.022372881,-0.028514589
601727,增持,维持,天风证券,3,-0.001941748,0,-0.001941748
002258,买入,维持,浙商证券,11,0.008547009,0.024291498,-0.015371102
300450,增持,维持,华泰证券,21,0.015891876,0.033417496,-0.016958896
688388,买入,维持,浙商证券,3,0.039076975,0.037055752,0.001949001
601398,增持,维持,中银证券,4,-0.021696252,-0.01183432,-0.00998004
688222,买入,调高,安信证券,5,-0.048185776,-0.02670537,-0.022069788
688981,增持,维持,国金证券,8,0.017926988,0.008148631,0.009699321
600000,增持,维持,天风证券,4,-0.020920502,-0.013598326,-0.007423118
600016,增持,维持,天风证券,1,-0.019120459,-0.011472275,-0.007736944
300315,买入,维持,天风证券,2,-0.012578616,-0.01572327,0.003194888
603377,买入,维持,天风证券,4,0.004002001,0.013006503,-0.008888889
601233,买入,维持,天风证券,16,0.058093627,0.037789058,0.019565217
000596,买入,首次,国海证券,28,-0.028628552,0.017568487,-0.04539944
601860,增持,维持,天风证券,3,-0.012468828,-0.004987531,-0.007518797
601155,买入,维持,华创证券,10,-0.028037383,-0.009912206,-0.018306636
000963,买入,维持,华泰证券,5,-0.028618968,0.007986689,-0.036315616
